Respondent_ID,Age_Group,Height_Group,City_Type,Occupation,Monthly_Personal_Income,Body_Shape,Shopping_Frequency,Shopping_Channels,Clothing_Types_Bought,Fit_Issue_Frequency,Biggest_Fit_Issues,Fit_Frustration_Score,Skipped_Purchase_Due_To_Fit,Alteration_Frequency,Monthly_Alteration_Spend,Online_Return_Frequency,Return_Reasons,Preferred_Bottomwear,Preferred_Topwear,Preferred_Dress_Types,Preferred_Colors,Budget_Per_Item,Pay_20_Percent_More_For_Perfect_Fit,Switch_Brand_For_Better_Fit,Purchase_Likelihood
PF100425,18–22,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Hourglass,Monthly,"Local stores, Zara / H&M, Instagram brands",Tops / Shirts,Sometimes,"Waist not fitting properly, Dresses too long, Pants too long",2,Rarely,Sometimes,₹100–₹300,Rarely,Poor fit,Wide-leg pants,Formal shirts,A-line,"Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Unlikely,No,Maybe
PF100426,23–27,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Pear (hips wider),Rarely,"Myntra, Zara / H&M","Ethnic wear (Kurtas, sets), Jeans / Trousers, Tops / Shirts",Rarely,"Pants too long, Poor overall proportion, Waist not fitting properly",2,"Yes, sometimes",Never,₹0,Rarely,"Poor fit, Size inconsistency",Formal trousers,"Oversized tops, Casual tops, Formal shirts","Mini dresses, A-line","Dark tones, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Unlikely,No,Unlikely
PF100427,23–27,5’0” – 5’2”,Tier 1 (Metro),Homemaker,No income,Rectangle (straight),Monthly,"Amazon / Flipkart, Myntra, Ajio","Activewear, Jeans / Trousers, Dresses",Never,No issue,2,"Yes, sometimes",Sometimes,₹100–₹300,Sometimes,"Size inconsistency, Poor fit",Cropped pants,"Crop tops, Formal shirts, Casual tops",Maxi dresses,"Pastel, Bright colors","₹1,000 – ₹2,000",Will not buy,Maybe,Maybe
PF100428,23–27,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Monthly,"Zara / H&M, Ajio, Instagram brands","Ethnic wear (Kurtas, sets), Dresses, Jeans / Trousers",Sometimes,"Pants too long, Waist not fitting properly, Dresses too long",2,Never,Never,₹0,Rarely,Poor fit,"Slim fit jeans, Formal trousers","Casual tops, Formal shirts",Maxi dresses,"Neutral (Black, White, Beige), Pastel, Dark tones","₹3,000 – ₹5,000",Unlikely,No,Maybe
PF100429,18–22,4’10” – 5’0”,Tier 3 / Smaller town,Student,No income,Pear (hips wider),Monthly,Amazon / Flipkart,"Dresses, Activewear, Jeans / Trousers",Often,"Poor overall proportion, Pants too long",4,"Yes, frequently",Sometimes,₹0,Sometimes,"Size inconsistency, Poor fit","Straight jeans, Formal trousers","Fitted tops, Casual tops",A-line,"Neutral (Black, White, Beige), Bright colors, Dark tones","Below ₹1,000",Likely buy,"Yes, definitely",Likely
PF100430,18–22,5’2” – 5’3”,Tier 1 (Metro),Working Professional,"Below ₹20,000",Pear (hips wider),Monthly,"Amazon / Flipkart, Myntra","Dresses, Jeans / Trousers, Tops / Shirts",Often,"Sleeves too long, Waist not fitting properly",3,"Yes, sometimes",Often,₹300–₹700,Rarely,Style mismatch,"Formal trousers, Straight jeans, Slim fit jeans","Formal shirts, Oversized tops, Crop tops",A-line,"Pastel, Neutral (Black, White, Beige), Dark tones","₹2,000 – ₹3,000",Depends,Maybe,Definitely will buy
PF100431,23–27,Above 5’3”,Tier 2,Homemaker,No income,Rectangle (straight),Once every 2–3 months,Local stores,"Ethnic wear (Kurtas, sets), Tops / Shirts",Sometimes,Pants too long,3,Never,Never,₹0,Rarely,"Size inconsistency, Poor fit","Formal trousers, Straight jeans, Cropped pants","Fitted tops, Formal shirts","Bodycon, A-line","Pastel, Dark tones, Neutral (Black, White, Beige)","Below ₹1,000",Unlikely,Maybe,Definitely not
PF100432,28–35,Below 4’10”,Tier 1 (Metro),Working Professional,"Above ₹1,00,000",Hourglass,Weekly,"Myntra, Zara / H&M",Jeans / Trousers,Sometimes,"Sleeves too long, Waist not fitting properly, Dresses too long",3,"Yes, sometimes",Often,₹100–₹300,Often,Fabric quality,Slim fit jeans,Casual tops,Maxi dresses,Dark tones,"₹3,000 – ₹5,000",Depends,Maybe,Definitely will buy
PF100433,23–27,5’2” – 5’3”,Tier 1 (Metro),Self-employed,"₹50,000 – ₹1,00,000",Not sure,Monthly,"Ajio, Local stores","Tops / Shirts, Jeans / Trousers, Ethnic wear (Kurtas, sets)",Sometimes,"Pants too long, Dresses too long, Waist not fitting properly",3,"Yes, sometimes",Sometimes,₹300–₹700,Sometimes,"Style mismatch, Fabric quality",Formal trousers,"Fitted tops, Formal shirts","A-line, Mini dresses","Neutral (Black, White, Beige), Dark tones, Bright colors","₹3,000 – ₹5,000",Depends,"Yes, definitely",Definitely will buy
PF100434,36–45,5’0” – 5’2”,Tier 2,Working Professional,"₹50,000 – ₹1,00,000",Apple (midsection wider),Rarely,Local stores,"Jeans / Trousers, Ethnic wear (Kurtas, sets), Tops / Shirts",Often,"Dresses too long, Pants too long, Poor overall proportion",5,"Yes, frequently",Always,₹300–₹700,Very often,"Size inconsistency, Poor fit","Straight jeans, Wide-leg pants","Formal shirts, Crop tops",Bodycon,"Pastel, Bright colors","₹3,000 – ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100435,18–22,5’0” – 5’2”,Tier 1 (Metro),Self-employed,"Below ₹20,000",Pear (hips wider),Weekly,"Amazon / Flipkart, Ajio","Jeans / Trousers, Ethnic wear (Kurtas, sets), Tops / Shirts",Sometimes,Pants too long,4,"Yes, frequently",Sometimes,₹100–₹300,Rarely,Poor fit,Wide-leg pants,"Fitted tops, Casual tops, Crop tops","Bodycon, A-line","Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,"Yes, definitely",Likely
PF100436,18–22,5’2” – 5’3”,Tier 2,Working Professional,"Below ₹20,000",Hourglass,Monthly,Amazon / Flipkart,"Jeans / Trousers, Ethnic wear (Kurtas, sets)",Often,"Waist not fitting properly, Dresses too long",3,"Yes, sometimes",Never,₹0,Rarely,Fabric quality,Cropped pants,Casual tops,A-line,"Neutral (Black, White, Beige), Bright colors","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF100437,28–35,4’10” – 5’0”,Tier 2,Working Professional,"₹50,000 – ₹1,00,000",Not sure,Weekly,"Zara / H&M, Amazon / Flipkart, Local stores",Tops / Shirts,Always,"Dresses too long, Waist not fitting properly, Sleeves too long",3,Never,Sometimes,₹0,Often,Size inconsistency,"Formal trousers, Straight jeans","Formal shirts, Oversized tops, Fitted tops",A-line,"Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Depends,Maybe,Likely
PF100438,23–27,Above 5’3”,Tier 1 (Metro),Student,"₹20,000 – ₹50,000",Rectangle (straight),Rarely,"Zara / H&M, Myntra, Ajio","Dresses, Jeans / Trousers, Ethnic wear (Kurtas, sets)",Never,No issue,1,Never,Never,₹0,Never,Other,"Straight jeans, Formal trousers, Wide-leg pants",Casual tops,"Mini dresses, Midi dresses","Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Will not buy,No,Definitely not
PF100439,23–27,4’10” – 5’0”,Tier 2,Other,"₹20,000 – ₹50,000",Not sure,Once every 2–3 months,Ajio,"Ethnic wear (Kurtas, sets), Dresses, Tops / Shirts",Often,"Sleeves too long, Pants too long, Waist not fitting properly",5,"Yes, sometimes",Often,₹300–₹700,Sometimes,"Poor fit, Fabric quality","Wide-leg pants, Straight jeans, Cropped pants","Fitted tops, Casual tops",A-line,"Prints, Neutral (Black, White, Beige), Dark tones","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF100440,23–27,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Not sure,Weekly,"Myntra, Ajio, Zara / H&M","Dresses, Tops / Shirts",Always,"Waist not fitting properly, Sleeves too long, Pants too long",5,"Yes, sometimes",Always,₹700+,Sometimes,Size inconsistency,"Slim fit jeans, Cropped pants, Wide-leg pants","Oversized tops, Formal shirts, Casual tops","Midi dresses, Maxi dresses","Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100441,36–45,5’2” – 5’3”,Tier 2,Working Professional,No income,Pear (hips wider),Monthly,"Amazon / Flipkart, Zara / H&M","Tops / Shirts, Jeans / Trousers",Always,"Pants too long, Sleeves too long, Waist not fitting properly",5,"Yes, frequently",Never,₹0,Sometimes,Poor fit,Straight jeans,"Oversized tops, Casual tops","Maxi dresses, Midi dresses","Dark tones, Pastel","Below ₹1,000",Depends,Maybe,Likely
PF100442,Under 18,Below 4’10”,Tier 3 / Smaller town,Student,"Below ₹20,000",Rectangle (straight),Monthly,Local stores,Activewear,Often,Poor overall proportion,5,"Yes, sometimes",Often,₹0,Sometimes,Style mismatch,"Cropped pants, Slim fit jeans, Straight jeans","Fitted tops, Oversized tops","Bodycon, Midi dresses","Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,Maybe,Definitely will buy
PF100443,18–22,5’0” – 5’2”,Tier 3 / Smaller town,Student,"Below ₹20,000",Rectangle (straight),Once every 2–3 months,"Local stores, Ajio, Instagram brands","Tops / Shirts, Jeans / Trousers, Dresses",Sometimes,"Pants too long, Dresses too long, Sleeves too long",4,"Yes, frequently",Always,₹300–₹700,Never,Other,Straight jeans,"Formal shirts, Casual tops",A-line,"Neutral (Black, White, Beige), Pastel","₹1,000 – ₹2,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100444,28–35,5’0” – 5’2”,Tier 2,Self-employed,"₹20,000 – ₹50,000",Apple (midsection wider),Weekly,"Zara / H&M, Myntra","Dresses, Ethnic wear (Kurtas, sets), Jeans / Trousers",Often,"Pants too long, Sleeves too long, Waist not fitting properly",4,"Yes, frequently",Often,₹100–₹300,Rarely,Poor fit,Cropped pants,"Casual tops, Formal shirts, Fitted tops",Bodycon,"Dark tones, Bright colors, Prints","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely not
PF100445,23–27,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Weekly,"Ajio, Myntra, Local stores","Tops / Shirts, Jeans / Trousers",Sometimes,"Pants too long, Sleeves too long",5,Never,Often,₹300–₹700,Never,Other,"Straight jeans, Wide-leg pants",Crop tops,A-line,"Pastel, Neutral (Black, White, Beige), Dark tones","₹3,000 – ₹5,000",Depends,Maybe,Definitely will buy
PF100446,28–35,4’10” – 5’0”,Tier 2,Working Professional,"Below ₹20,000",Not sure,Monthly,"Myntra, Local stores",Dresses,Sometimes,"Pants too long, Sleeves too long, Waist not fitting properly",4,"Yes, frequently",Always,₹100–₹300,Sometimes,Size inconsistency,"Slim fit jeans, Formal trousers","Fitted tops, Casual tops, Formal shirts","Midi dresses, Maxi dresses","Dark tones, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF100447,23–27,5’2” – 5’3”,Tier 3 / Smaller town,Homemaker,No income,Apple (midsection wider),Once every 2–3 months,"Ajio, Local stores, Amazon / Flipkart","Dresses, Tops / Shirts, Jeans / Trousers",Sometimes,"Poor overall proportion, Waist not fitting properly, Sleeves too long",3,"Yes, sometimes",Often,₹100–₹300,Rarely,"Poor fit, Style mismatch","Slim fit jeans, Formal trousers","Casual tops, Fitted tops",Maxi dresses,Dark tones,"Below ₹1,000",Depends,Maybe,Maybe
PF100448,18–22,5’2” – 5’3”,Tier 1 (Metro),Student,"Below ₹20,000",Rectangle (straight),Weekly,Ajio,Dresses,Often,Waist not fitting properly,5,Rarely,Often,₹100–₹300,Very often,Poor fit,"Slim fit jeans, Formal trousers","Oversized tops, Formal shirts",Midi dresses,"Neutral (Black, White, Beige), Bright colors","₹2,000 – ₹3,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100449,18–22,Below 4’10”,Tier 2,Student,"Below ₹20,000",Rectangle (straight),Monthly,"Ajio, Local stores",Tops / Shirts,Often,"Dresses too long, Waist not fitting properly",3,"Yes, sometimes",Sometimes,₹0,Often,"Size inconsistency, Poor fit","Straight jeans, Cropped pants","Casual tops, Formal shirts",Bodycon,"Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,Maybe,Maybe
PF100450,18–22,4’10” – 5’0”,Tier 3 / Smaller town,Student,No income,Hourglass,Rarely,"Instagram brands, Myntra, Local stores","Dresses, Jeans / Trousers, Ethnic wear (Kurtas, sets)",Always,Pants too long,5,Rarely,Sometimes,₹100–₹300,Never,Other,"Slim fit jeans, Straight jeans","Crop tops, Fitted tops","Mini dresses, A-line","Bright colors, Neutral (Black, White, Beige)","Below ₹1,000",Depends,Maybe,Likely
PF100451,23–27,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Hourglass,Rarely,"Local stores, Myntra","Ethnic wear (Kurtas, sets), Dresses",Often,"Pants too long, Poor overall proportion",5,Never,Often,₹0,Very often,"Size inconsistency, Fabric quality","Formal trousers, Slim fit jeans",Crop tops,"Maxi dresses, Midi dresses","Dark tones, Pastel","₹3,000 – ₹5,000",Depends,"Yes, definitely",Definitely will buy
PF100452,18–22,5’0” – 5’2”,Tier 3 / Smaller town,Student,No income,Pear (hips wider),Monthly,"Myntra, Instagram brands, Ajio","Dresses, Tops / Shirts, Jeans / Trousers",Never,No issue,2,Rarely,Sometimes,₹100–₹300,Sometimes,"Poor fit, Size inconsistency","Wide-leg pants, Straight jeans","Crop tops, Fitted tops, Casual tops","A-line, Midi dresses","Dark tones, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Will not buy,No,Maybe
PF100453,28–35,5’0” – 5’2”,Tier 2,Working Professional,"₹50,000 – ₹1,00,000",Apple (midsection wider),Once every 2–3 months,"Myntra, Local stores","Tops / Shirts, Dresses",Always,Pants too long,5,"Yes, frequently",Always,₹300–₹700,Sometimes,Size inconsistency,Straight jeans,"Formal shirts, Oversized tops","Midi dresses, A-line","Neutral (Black, White, Beige), Dark tones","₹3,000 – ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100454,23–27,Above 5’3”,Tier 3 / Smaller town,Working Professional,"₹50,000 – ₹1,00,000",Pear (hips wider),Once every 2–3 months,Ajio,Tops / Shirts,Never,No issue,2,Rarely,Never,₹0,Rarely,Poor fit,Wide-leg pants,"Formal shirts, Casual tops",A-line,"Neutral (Black, White, Beige), Pastel, Dark tones","₹2,000 – ₹3,000",Unlikely,Maybe,Definitely not
PF100455,28–35,Above 5’3”,Tier 1 (Metro),Student,"Below ₹20,000",Rectangle (straight),Rarely,Zara / H&M,"Tops / Shirts, Ethnic wear (Kurtas, sets), Jeans / Trousers",Often,Waist not fitting properly,2,"Yes, sometimes",Never,₹0,Often,"Poor fit, Style mismatch",Wide-leg pants,Casual tops,"Midi dresses, Mini dresses","Dark tones, Neutral (Black, White, Beige), Bright colors","₹1,000 – ₹2,000",Depends,Maybe,Unlikely
PF100456,18–22,Below 4’10”,Tier 1 (Metro),Working Professional,No income,Hourglass,Monthly,Zara / H&M,Tops / Shirts,Often,Waist not fitting properly,4,"Yes, frequently",Often,₹300–₹700,Often,"Style mismatch, Fabric quality","Slim fit jeans, Formal trousers, Cropped pants","Crop tops, Fitted tops, Formal shirts","Bodycon, Midi dresses",Pastel,"₹1,000 – ₹2,000",Likely buy,"Yes, definitely",Definitely will buy
PF100457,28–35,4’10” – 5’0”,Tier 1 (Metro),Homemaker,No income,Pear (hips wider),Weekly,"Ajio, Amazon / Flipkart, Myntra","Ethnic wear (Kurtas, sets)",Rarely,Waist not fitting properly,2,"Yes, sometimes",Never,₹0,Never,Other,"Formal trousers, Straight jeans",Crop tops,A-line,Bright colors,"₹1,000 – ₹2,000",Will not buy,Maybe,Unlikely
PF100458,28–35,5’0” – 5’2”,Tier 1 (Metro),Student,"₹20,000 – ₹50,000",Rectangle (straight),Monthly,"Zara / H&M, Amazon / Flipkart, Myntra","Tops / Shirts, Jeans / Trousers, Dresses",Always,"Sleeves too long, Pants too long",4,"Yes, sometimes",Often,₹300–₹700,Rarely,Poor fit,"Formal trousers, Straight jeans","Oversized tops, Casual tops, Fitted tops","Midi dresses, A-line","Dark tones, Pastel, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF100459,23–27,4’10” – 5’0”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Monthly,Myntra,Tops / Shirts,Sometimes,Sleeves too long,3,"Yes, sometimes",Often,₹100–₹300,Never,Other,"Slim fit jeans, Wide-leg pants","Fitted tops, Formal shirts","A-line, Midi dresses","Dark tones, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF100460,23–27,4’10” – 5’0”,Tier 2,Student,"₹50,000 – ₹1,00,000",Pear (hips wider),Weekly,"Local stores, Instagram brands","Tops / Shirts, Ethnic wear (Kurtas, sets)",Rarely,"Sleeves too long, Dresses too long, Waist not fitting properly",2,"Yes, sometimes",Never,₹0,Never,Other,Slim fit jeans,Oversized tops,"Bodycon, Midi dresses","Neutral (Black, White, Beige), Pastel, Bright colors","₹3,000 – ₹5,000",Unlikely,Maybe,Unlikely
PF100461,28–35,Above 5’3”,Tier 1 (Metro),Self-employed,"₹50,000 – ₹1,00,000",Hourglass,Monthly,"Amazon / Flipkart, Instagram brands","Jeans / Trousers, Dresses",Rarely,"Sleeves too long, Dresses too long",1,Never,Sometimes,₹0,Sometimes,Poor fit,Wide-leg pants,"Fitted tops, Casual tops",Maxi dresses,"Neutral (Black, White, Beige), Dark tones","₹3,000 – ₹5,000",Unlikely,No,Definitely not
PF100462,23–27,Below 4’10”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Weekly,"Myntra, Ajio","Tops / Shirts, Dresses",Sometimes,"Sleeves too long, Pants too long, Waist not fitting properly",4,Never,Often,₹100–₹300,Often,"Size inconsistency, Poor fit",Wide-leg pants,"Fitted tops, Casual tops",A-line,"Bright colors, Dark tones, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100463,36–45,5’2” – 5’3”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Apple (midsection wider),Once every 2–3 months,Instagram brands,"Ethnic wear (Kurtas, sets), Tops / Shirts",Sometimes,"Pants too long, Waist not fitting properly, Poor overall proportion",3,"Yes, frequently",Sometimes,₹0,Sometimes,"Poor fit, Fabric quality","Wide-leg pants, Formal trousers","Formal shirts, Casual tops, Fitted tops","A-line, Mini dresses",Dark tones,"₹2,000 – ₹3,000",Unlikely,Maybe,Maybe
PF100464,Under 18,5’0” – 5’2”,Tier 3 / Smaller town,Student,No income,Pear (hips wider),Monthly,"Ajio, Amazon / Flipkart, Myntra","Ethnic wear (Kurtas, sets)",Sometimes,"Sleeves too long, Dresses too long, Pants too long",3,Rarely,Never,₹0,Rarely,Poor fit,"Formal trousers, Slim fit jeans, Straight jeans","Fitted tops, Crop tops",Mini dresses,"Bright colors, Neutral (Black, White, Beige), Pastel","Below ₹1,000",Will not buy,Maybe,Unlikely
PF100465,28–35,5’2” – 5’3”,Tier 2,Other,"₹20,000 – ₹50,000",Apple (midsection wider),Rarely,Myntra,"Jeans / Trousers, Tops / Shirts, Dresses",Always,"Pants too long, Waist not fitting properly",5,"Yes, frequently",Often,₹100–₹300,Sometimes,Poor fit,"Straight jeans, Slim fit jeans","Oversized tops, Casual tops, Fitted tops","Midi dresses, Mini dresses",Dark tones,"₹1,000 – ₹2,000",Likely buy,"Yes, definitely",Definitely will buy
PF100466,36–45,Above 5’3”,Tier 1 (Metro),Self-employed,"Below ₹20,000",Rectangle (straight),Once every 2–3 months,Myntra,"Dresses, Ethnic wear (Kurtas, sets), Jeans / Trousers",Sometimes,"Pants too long, Waist not fitting properly",5,"Yes, frequently",Never,₹0,Sometimes,Size inconsistency,Slim fit jeans,"Casual tops, Crop tops, Formal shirts",Midi dresses,Bright colors,"₹1,000 – ₹2,000",Depends,"Yes, definitely",Unlikely
PF100467,28–35,5’0” – 5’2”,Tier 2,Self-employed,"₹20,000 – ₹50,000",Pear (hips wider),Once every 2–3 months,"Local stores, Instagram brands, Zara / H&M","Ethnic wear (Kurtas, sets)",Sometimes,"Pants too long, Poor overall proportion, Waist not fitting properly",4,"Yes, sometimes",Sometimes,₹0,Rarely,"Poor fit, Fabric quality","Wide-leg pants, Straight jeans, Cropped pants","Casual tops, Fitted tops, Crop tops","Midi dresses, A-line","Dark tones, Prints, Bright colors","₹2,000 – ₹3,000",Depends,"Yes, definitely",Likely
PF100468,36–45,4’10” – 5’0”,Tier 2,Homemaker,No income,Apple (midsection wider),Once every 2–3 months,"Myntra, Local stores","Tops / Shirts, Ethnic wear (Kurtas, sets), Jeans / Trousers",Sometimes,Waist not fitting properly,3,"Yes, sometimes",Sometimes,₹0,Never,Other,Slim fit jeans,Casual tops,Bodycon,"Prints, Dark tones, Neutral (Black, White, Beige)","Below ₹1,000",Unlikely,"Yes, definitely",Maybe
PF100469,23–27,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Hourglass,Once every 2–3 months,"Instagram brands, Myntra","Dresses, Jeans / Trousers",Never,No issue,2,"Yes, sometimes",Sometimes,₹300–₹700,Rarely,Size inconsistency,"Straight jeans, Wide-leg pants, Slim fit jeans",Fitted tops,"A-line, Bodycon","Neutral (Black, White, Beige), Pastel, Dark tones","₹2,000 – ₹3,000",Unlikely,No,Unlikely
PF100470,23–27,Below 4’10”,Tier 2,Student,"₹20,000 – ₹50,000",Apple (midsection wider),Monthly,Ajio,Jeans / Trousers,Sometimes,"Waist not fitting properly, Dresses too long",4,"Yes, sometimes",Often,₹700+,Rarely,"Size inconsistency, Poor fit",Cropped pants,"Casual tops, Fitted tops","A-line, Bodycon","Dark tones, Neutral (Black, White, Beige), Prints","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF100471,Under 18,5’2” – 5’3”,Tier 1 (Metro),Student,"₹20,000 – ₹50,000",Apple (midsection wider),Once every 2–3 months,Local stores,"Tops / Shirts, Dresses, Ethnic wear (Kurtas, sets)",Sometimes,"Sleeves too long, Poor overall proportion",4,"Yes, sometimes",Often,₹300–₹700,Sometimes,"Fabric quality, Style mismatch",Straight jeans,"Crop tops, Casual tops, Formal shirts","Mini dresses, Bodycon","Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Likely buy,"Yes, definitely",Definitely will buy
PF100472,36–45,5’0” – 5’2”,Tier 2,Working Professional,"₹50,000 – ₹1,00,000",Apple (midsection wider),Monthly,Ajio,"Ethnic wear (Kurtas, sets)",Sometimes,"Waist not fitting properly, Pants too long, Sleeves too long",3,"Yes, sometimes",Always,₹300–₹700,Sometimes,"Size inconsistency, Other","Formal trousers, Slim fit jeans, Wide-leg pants","Fitted tops, Formal shirts","A-line, Midi dresses","Prints, Neutral (Black, White, Beige), Pastel","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Likely
PF100473,23–27,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"Above ₹1,00,000",Rectangle (straight),Monthly,"Myntra, Zara / H&M, Ajio","Activewear, Jeans / Trousers, Dresses",Always,"Dresses too long, Sleeves too long",4,Rarely,Often,₹100–₹300,Sometimes,Fabric quality,"Straight jeans, Formal trousers","Crop tops, Formal shirts, Fitted tops","Midi dresses, A-line","Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Likely buy,"Yes, definitely",Definitely will buy
PF100474,23–27,5’2” – 5’3”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Not sure,Once every 2–3 months,"Amazon / Flipkart, Zara / H&M","Ethnic wear (Kurtas, sets), Jeans / Trousers",Often,Pants too long,4,"Yes, sometimes",Always,₹100–₹300,Rarely,Poor fit,"Slim fit jeans, Wide-leg pants, Formal trousers","Formal shirts, Fitted tops, Casual tops","Maxi dresses, Bodycon","Neutral (Black, White, Beige), Dark tones, Pastel","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF100475,23–27,5’2” – 5’3”,Tier 2,Working Professional,"Above ₹1,00,000",Pear (hips wider),Monthly,"Amazon / Flipkart, Myntra, Ajio",Jeans / Trousers,Sometimes,Pants too long,3,Never,Often,₹100–₹300,Never,Other,Formal trousers,"Casual tops, Formal shirts",A-line,"Neutral (Black, White, Beige), Dark tones","₹3,000 – ₹5,000",Depends,No,Definitely will buy
PF100476,28–35,Above 5’3”,Tier 2,Working Professional,"Below ₹20,000",Rectangle (straight),Once every 2–3 months,"Amazon / Flipkart, Ajio","Tops / Shirts, Jeans / Trousers",Sometimes,"Waist not fitting properly, Sleeves too long",2,"Yes, sometimes",Never,₹0,Sometimes,Style mismatch,"Formal trousers, Slim fit jeans, Cropped pants",Fitted tops,"A-line, Mini dresses",Dark tones,"₹1,000 – ₹2,000",Will not buy,No,Definitely not
PF100477,18–22,Above 5’3”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Rarely,"Myntra, Local stores",Dresses,Always,"Pants too long, Waist not fitting properly, Poor overall proportion",5,"Yes, frequently",Never,₹0,Sometimes,Poor fit,Slim fit jeans,Casual tops,"Maxi dresses, Bodycon","Dark tones, Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,"Yes, definitely",Unlikely
PF100478,36–45,Above 5’3”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Not sure,Rarely,Ajio,Dresses,Never,No issue,3,Rarely,Sometimes,₹700+,Rarely,Size inconsistency,Wide-leg pants,"Fitted tops, Crop tops, Formal shirts",Mini dresses,"Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,No,Definitely not
PF100479,23–27,Above 5’3”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Rectangle (straight),Rarely,"Myntra, Amazon / Flipkart, Local stores",Jeans / Trousers,Rarely,"Pants too long, Waist not fitting properly",2,Never,Never,₹0,Rarely,"Fabric quality, Poor fit",Slim fit jeans,Fitted tops,"Maxi dresses, A-line",Dark tones,"₹1,000 – ₹2,000",Will not buy,No,Definitely not
PF100480,Under 18,Above 5’3”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Hourglass,Monthly,"Ajio, Local stores, Instagram brands","Jeans / Trousers, Dresses",Never,No issue,2,Never,Often,₹100–₹300,Sometimes,Style mismatch,"Straight jeans, Wide-leg pants, Formal trousers","Casual tops, Crop tops, Fitted tops","A-line, Maxi dresses","Neutral (Black, White, Beige), Bright colors, Pastel","₹3,000 – ₹5,000",Depends,No,Definitely not
PF100481,36–45,5’2” – 5’3”,Tier 2,Other,"Below ₹20,000",Pear (hips wider),Once every 2–3 months,"Ajio, Myntra, Local stores","Ethnic wear (Kurtas, sets)",Often,Pants too long,3,"Yes, sometimes",Often,₹0,Sometimes,Poor fit,Formal trousers,"Formal shirts, Casual tops, Crop tops","Bodycon, Midi dresses",Pastel,"₹1,000 – ₹2,000",Depends,Maybe,Definitely will buy
PF100482,36–45,Above 5’3”,Tier 1 (Metro),Student,"Above ₹1,00,000",Pear (hips wider),Monthly,"Myntra, Zara / H&M",Tops / Shirts,Often,"Waist not fitting properly, Dresses too long",4,Never,Never,₹0,Often,"Poor fit, Size inconsistency","Straight jeans, Formal trousers, Wide-leg pants","Casual tops, Fitted tops","Maxi dresses, A-line","Pastel, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Likely buy,"Yes, definitely",Maybe
